match id,series id,end time,duration (s),mode,map,team,player,win?,score,kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,assists,headshots,suicides,team kills,team deaths,kills (stayed alive),hits,shots,accuracy (%),num lives,time alive (s),avg time per life (s),fave weapon,fave division,fave training,fave scorestreaks,hill time (s),hill captures,hill defends,snd rounds,snd firstbloods,snd firstdeaths,snd survives,bomb pickups,bomb plants,bomb defuses,bomb sneak defuses,snd 1-kill round,snd 2-kill round,snd 3-kill round,snd 4-kill round,ctf captures,ctf returns,ctf pickups,ctf defends,ctf kill carriers,ctf flag carry time (s),2-piece,3-piece,4-piece,4-streak,5-streak,6-streak,7-streak,8+-streak,scorestreaks earned,scorestreaks used,scorestreaks deployed,scorestreaks kills,scorestreaks assists
99bed783-41bd-5f70-85b9-1ad07870e66c,champs-losers-2-3,2018-04-22 04:23:40 UTC,500,Search & Destroy,USS Texas,Unilad,Skrapz,W,6,10,1,9,10,12,1.2,1,1,0,0,0,10,9,24,37.50%,7,442.7,63.2,Springfield,,mountain_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,7,3,1,6,0,0,1,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30283145-c2ad-555f-a67f-8c6f8c0e558d,pool-B-6,2018-04-21 21:49:41 UTC,442,Search & Destroy,London Docks,Ghost Gaming,Lacefield,W,6,12,2,10,6,16.3,2.7,0,0,0,0,0,11,39,160,24.40%,7,440.9,63,PPSh-41,,armored_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,7,1,0,5,3,2,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,0
8ad9ced0-b2a3-5303-9418-0f8345d57bb5,champs-winners-1-2,2018-04-22 02:58:06 UTC,497,Search & Destroy,Sainte Marie du Mont,Echo Fox,Aqua,W,6,12,1,11,12,14.5,1.2,0,0,0,0,0,12,36,126,28.60%,8,500.9,62.6,STG-44,,Energetic,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,8,0,0,7,1,1,0,0,1,4,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,3,3,3,0
99bed783-41bd-5f70-85b9-1ad07870e66c,champs-losers-2-3,2018-04-22 04:23:40 UTC,500,Search & Destroy,USS Texas,Unilad,Wuskin,W,6,7,3,4,2.33,8.4,3.6,4,1,0,0,0,6,33,166,19.90%,7,434.4,62.1,STG-44,,infantry_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,7,1,0,4,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30a8771f-7f73-5fc4-ab03-cc82317da793,champs-grand-finals-0,2018-04-23 01:13:43 UTC,901,Search & Destroy,London Docks,Evil Geniuses,Apathy,L,5,10,6,4,1.67,6.7,4,4,0,0,0,0,10,39,246,15.90%,11,681.9,62,PPSh-41,,Energetic,"Fighter Pilot, Glide Bomb, Mortar Strike",0,0,0,11,1,1,5,1,1,0,0,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,1,0
88d22d39-0120-54c8-95a7-df25e73f6ba6,pool-C-6,2018-04-22 00:25:06 UTC,463,Search & Destroy,Sainte Marie du Mont,eUnited,Clayster,L,1,4,6,-2,0.67,5.2,7.8,1,0,0,0,0,3,23,138,16.70%,7,432.9,61.8,STG-44,,Energetic,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,7,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99bed783-41bd-5f70-85b9-1ad07870e66c,champs-losers-2-3,2018-04-22 04:23:40 UTC,500,Search & Destroy,USS Texas,Unilad,Seany,W,6,8,2,6,4,9.6,2.4,2,0,0,0,0,6,36,134,26.90%,7,431.9,61.7,PPSh-41,,Energetic,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,7,1,0,5,1,1,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81a36256-1c1a-51e6-91d4-d5b06be0fc01,pool-D-4,2018-04-20 21:36:04 UTC,609,Search & Destroy,USS Texas,Splyce,Jurd,L,3,8,6,2,1.33,7.9,5.9,1,1,0,0,0,6,21,68,30.90%,9,553.7,61.5,Springfield,,mountain_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,9,1,0,3,0,0,1,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81a36256-1c1a-51e6-91d4-d5b06be0fc01,pool-D-4,2018-04-20 21:36:04 UTC,609,Search & Destroy,USS Texas,Red Reserve,Zer0,W,6,7,5,2,1.4,6.9,4.9,1,0,0,0,0,7,10,52,19.20%,9,549.7,61.1,Springfield,,armored_grandmaster,"Fighter Pilot, Glide Bomb, Mortar Strike",0,0,0,9,2,0,4,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45b0d7a6-08b5-5084-bbe6-eebeabef6a7d,pool-B-5,2018-04-20 21:30:45 UTC,594,Search & Destroy,London Docks,Team EnVyUs,Classic,W,6,6,6,0,1,6.1,6.1,3,1,0,0,0,6,37,202,18.30%,9,548.8,61,STG-44,,armored_grandmaster,"Fighter Pilot, Glide Bomb, Artillery Barrage",0,0,0,9,2,0,3,2,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
