match id,series id,end time,duration (s),mode,map,team,player,win?,score,kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,assists,headshots,suicides,team kills,team deaths,kills (stayed alive),hits,shots,accuracy (%),num lives,time alive (s),avg time per life (s),fave weapon,fave division,fave training,fave scorestreaks,hill time (s),hill captures,hill defends,snd rounds,snd firstbloods,snd firstdeaths,snd survives,bomb pickups,bomb plants,bomb defuses,bomb sneak defuses,snd 1-kill round,snd 2-kill round,snd 3-kill round,snd 4-kill round,ctf captures,ctf returns,ctf pickups,ctf defends,ctf kill carriers,ctf flag carry time (s),2-piece,3-piece,4-piece,4-streak,5-streak,6-streak,7-streak,8+-streak,scorestreaks earned,scorestreaks used,scorestreaks deployed,scorestreaks kills,scorestreaks assists
98ca887d-eba1-5b24-983f-cd90838ef149,pro1-winners-1-1,2018-04-06 22:08:55 UTC,456,Hardpoint,London Docks,Red Reserve,Joee,L,55,12,31,-19,0.39,15.8,40.8,7,2,0,0,1,4,68,250,27.20%,33,389.1,11.8,PPSh-41,Airborne,Hunker,"Fighter Pilot, Glide Bomb, Artillery Barrage",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
98ca887d-eba1-5b24-983f-cd90838ef149,pro1-winners-1-1,2018-04-06 22:08:55 UTC,456,Hardpoint,London Docks,Red Reserve,Joshh,L,55,17,31,-14,0.55,22.4,40.8,9,0,0,0,0,3,88,428,20.60%,32,392.6,12.3,PPSh-41,Airborne,Hunker,"Fighter Pilot, Glide Bomb, Mortar Strike",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfbd4fec-1e25-5967-8cd1-b9f74832f757,pro1-b1-14,2018-02-09 01:35:36 UTC,451,Hardpoint,Ardennes Forest,eUnited,Prestinni,L,58,24,28,-4,0.86,31.9,37.3,7,1,0,1,2,15,75,393,19.10%,31,387.9,12.5,PPSh-41,Airborne,Hunker,"Fighter Pilot, Glide Bomb, Flamethrower",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,1,1,3,0
cfee1164-7fa7-5de1-be4f-728b0167d91f,pro1-b1-10,2018-02-08 02:34:16 UTC,568,Hardpoint,Ardennes Forest,eUnited,Prestinni,L,89,22,38,-16,0.58,23.2,40.1,11,1,0,1,0,10,91,368,24.70%,39,490.1,12.6,PPSh-41,Airborne,Hunker,"Fighter Pilot, Glide Bomb, Flamethrower",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
a8faeb59-bbe0-5f04-91f1-fd6ab82fc9a6,pro1-b3-5,2018-03-15 02:27:44 UTC,600,Capture The Flag,Flak Tower,eUnited,Prestinni,L,2,13,26,-13,0.5,13,26,0,1,0,0,0,8,79,298,26.50%,27,353.9,13.1,PPSh-41,Airborne,Hunker,"Fighter Pilot, Glide Bomb, Mortar Strike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,19.8,1,0,0,0,0,0,0,0,0,0,0,0,0
98ca887d-eba1-5b24-983f-cd90838ef149,pro1-winners-1-1,2018-04-06 22:08:55 UTC,456,Hardpoint,London Docks,Red Reserve,Zer0,L,55,17,29,-12,0.59,22.4,38.2,9,0,0,1,0,6,83,398,20.90%,30,394.6,13.2,PPSh-41,Armored,Primed,"Fighter Pilot, Glide Bomb, Mortar Strike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
965258eb-378b-546d-8996-a2e9d5aaef49,pro1-b1-5,2018-02-07 03:51:21 UTC,537,Hardpoint,London Docks,Evil Geniuses,Apathy,L,83,23,30,-7,0.77,25.7,33.5,13,4,0,1,4,11,120,508,23.60%,35,468.9,13.4,PPSh-41,Airborne,Hunker,"Fighter Pilot, Glide Bomb, Flamethrower",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
9847049e-62b1-5997-adce-b125e40a5196,pro1-a4-9,2018-03-01 01:51:51 UTC,542,Hardpoint,London Docks,Red Reserve,Joee,L,146,16,34,-18,0.47,17.7,37.6,8,1,0,0,1,11,77,298,25.80%,35,471.1,13.5,PPSh-41,Airborne,Hunker,"Fighter Pilot, Glide Bomb, Artillery Barrage",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0
e3c1f482-002d-58a3-92b7-3e48d8b14f60,pro1-grand-finals-0,2018-04-08 22:46:14 UTC,570,Hardpoint,Ardennes Forest,FaZe Clan,Zoomaa,L,116,28,34,-6,0.82,29.5,35.8,8,1,0,0,1,15,132,476,27.70%,36,498.4,13.8,PPSh-41,Airborne,Hunker,"Fighter Pilot, Glide Bomb, Artillery Barrage",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
6241afd6-927a-502e-9a24-a8a6dbdbed60,pro1-winners-1-3,2018-04-07 00:26:07 UTC,794,Hardpoint,London Docks,FaZe Clan,Zoomaa,W,250,51,48,3,1.06,38.5,36.3,11,0,1,1,0,32,206,655,31.50%,50,696.5,13.9,PPSh-41,Airborne,Hunker,"Fighter Pilot, Glide Bomb, Artillery Barrage",42,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,1,0,0,0,0,0,0,0,0
